,Large Cap,Mid Cap,Small Cap,Int'l Developed,Emerging Markets,US Agg Bond,US High Yield,US Treasury,Corporate,Gold,Oil,Private Equity,Venture Capital,Angel Venture,Cash
Children's Estate,9.675493632981489e-17,3.2915401066656617e-16,2.498001805406602e-16,7.193473132853286e-17,5.894042792141095e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.42822334067917,0.5717766593208294,0.0,0.0
Living Expenses,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
Vacation Home,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
Naming Rights,0.0,0.0,9.71445146547012e-17,0.0,0.0,2.7238980634258807e-17,6.519618288785181e-17,4.862228517627427e-17,1.3470899943106761e-17,2.738057261712084e-17,8.495239068516792e-17,0.42839441314060045,0.5716055868593994,4.4756760849102506e-17,3.594673910104541e-17
